Week,team_id,Points,Opp_Team,Points_Against,Type,manager,team_name,expected_wins
1,2,114.26,7,88.0,Regular,RIP,Matthew Berry Dead,0.6937260702817782
3,2,70.24,3,101.9,Regular,RIP,Matthew Berry Dead,0.0673978365010654
5,2,119.22,4,70.86,Regular,RIP,Matthew Berry Dead,0.7695482473467155
6,2,99.16,9,115.6,Regular,RIP,Matthew Berry Dead,0.40996398316386645
8,2,139.86,8,138.58,Regular,RIP,Matthew Berry Dead,0.9438016573067751
2,2,81.76,6,136.18,Regular,RIP,Matthew Berry Dead,0.1511228217727918
4,2,79.8,5,81.36,Regular,RIP,Matthew Berry Dead,0.13247971703380734
7,2,119.34,1,116.64,Regular,RIP,Matthew Berry Dead,0.7712094801563104
9,2,67.02,10,114.92,Regular,RIP,Matthew Berry Dead,0.053183359155003
10,2,100.1,7,84.3,Regular,RIP,Matthew Berry Dead,0.4278690346901764
1,4,111.12,9,86.42,Regular,Team,Mixon and Nixon ,0.6391931444842117
3,4,98.02,8,82.28,Regular,Team,Mixon and Nixon ,0.38856942098087277
6,4,77.6,6,102.08,Regular,Team,Mixon and Nixon ,0.11391309175207781
8,4,101.32,5,174.0,Regular,Team,Mixon and Nixon ,0.45138538340011564
9,4,139.12,7,109.8,Regular,Team,Mixon and Nixon ,0.9406498923669258
2,4,116.02,1,116.02,Regular,Team,Mixon and Nixon ,0.7221864597083683
4,4,94.86,10,71.78,Regular,Team,Mixon and Nixon ,0.3316729726450456
5,4,70.86,2,119.22,Regular,Team,Mixon and Nixon ,0.07051238072868196
7,4,78.6,3,106.92,Regular,Team,Mixon and Nixon ,0.12205414246847486
10,4,73.04,9,118.2,Regular,Team,Mixon and Nixon ,0.08254647424613029
1,10,77.06,6,125.72,Regular,DAD,A Cursed Entity,0.10971660454696518
3,10,107.8,5,123.86,Regular,DAD,A Cursed Entity,0.5773840652545533
4,10,71.78,4,94.86,Regular,DAD,A Cursed Entity,0.07537958139825518
6,10,67.38,1,100.0,Regular,DAD,A Cursed Entity,0.05462001025579267
9,10,114.92,2,67.02,Regular,DAD,A Cursed Entity,0.70458924887106
2,10,117.5,3,169.28,Regular,DAD,A Cursed Entity,0.7448168017917637
5,10,76.4,9,111.98,Regular,DAD,A Cursed Entity,0.10477216796649969
7,10,73.4,8,132.22,Regular,DAD,A Cursed Entity,0.08470535467636947
8,10,91.28,7,65.8,Regular,DAD,A Cursed Entity,0.2727339621773419
10,10,115.68,6,73.5,Regular,DAD,A Cursed Entity,0.7168165674388788
1,5,89.38,1,152.22,Regular,NIX,Defend the Crown,0.24425565488306003
4,5,81.36,2,79.8,Regular,NIX,Defend the Crown,0.14715075000699626
6,5,110.52,3,106.76,Regular,NIX,Defend the Crown,0.6282948090229091
7,5,96.7,7,151.68,Regular,NIX,Defend the Crown,0.3643272196521938
9,5,116.9,9,99.04,Regular,NIX,Defend the Crown,0.7357901238086826
2,5,63.68,8,132.1,Regular,NIX,Defend the Crown,0.04145749956375001
3,5,123.86,10,107.8,Regular,NIX,Defend the Crown,0.8276244675196963
5,5,137.44,6,120.3,Regular,NIX,Defend the Crown,0.9328704425693224
8,5,174.0,4,101.32,Regular,NIX,Defend the Crown,0.9959005414347964
10,5,88.76,1,122.9,Regular,NIX,Defend the Crown,0.23541049546051745
1,8,114.1,3,121.18,Regular,GREG,Greg's Gang,0.6910592015856681
2,8,132.1,5,63.68,Regular,GREG,Greg's Gang,0.9014764751745091
4,8,174.86,9,112.38,Regular,GREG,Greg's Gang,0.9961663437135999
7,8,132.22,10,73.4,Regular,GREG,Greg's Gang,0.9023074207793939
9,8,148.64,6,100.5,Regular,GREG,Greg's Gang,0.9709185809203008
3,8,82.28,4,98.02,Regular,GREG,Greg's Gang,0.1564177741565867
5,8,116.38,1,135.68,Regular,GREG,Greg's Gang,0.727803417361177
6,8,99.22,7,86.72,Regular,GREG,Greg's Gang,0.41110028276581395
8,8,138.58,2,139.86,Regular,GREG,Greg's Gang,0.9382462184098863
10,8,120.64,3,95.3,Regular,GREG,Greg's Gang,0.7886638127351361
2,7,65.16,9,94.56,Regular,THIC,Kittle's Coming Home!,0.046312607033295795
4,7,93.78,1,167.96,Regular,THIC,Kittle's Coming Home!,0.3132114532964503
6,7,86.72,8,99.22,Regular,THIC,Kittle's Coming Home!,0.20789566728187056
8,7,65.8,10,91.28,Regular,THIC,Kittle's Coming Home!,0.048575736196530724
10,7,84.3,2,100.1,Regular,THIC,Kittle's Coming Home!,0.1784266475771704
1,7,88.0,2,114.26,Regular,THIC,Kittle's Coming Home!,0.22487402858764252
3,7,68.96,6,85.46,Regular,THIC,Kittle's Coming Home!,0.06136786224784599
5,7,83.36,3,136.06,Regular,THIC,Kittle's Coming Home!,0.16789677498977904
7,7,151.68,5,96.7,Regular,THIC,Kittle's Coming Home!,0.9769338023548586
9,7,109.8,4,139.12,Regular,THIC,Kittle's Coming Home!,0.6150433313863658
2,6,136.18,2,81.76,Regular,ITTO,Team Ittounas,0.9264255243336412
3,6,85.46,7,68.96,Regular,ITTO,Team Ittounas,0.19212468736629693
5,6,120.3,5,137.44,Regular,ITTO,Team Ittounas,0.784194898598192
7,6,70.46,9,116.94,Regular,ITTO,Team Ittounas,0.06848811025148678
8,6,145.14,1,139.3,Regular,ITTO,Team Ittounas,0.962102524314381
10,6,73.5,10,115.68,Regular,ITTO,Team Ittounas,0.08531407510169908
1,6,125.72,10,77.06,Regular,ITTO,Team Ittounas,0.8474120496379667
4,6,101.68,3,147.02,Regular,ITTO,Team Ittounas,0.4583712190669565
6,6,102.08,4,77.6,Regular,ITTO,Team Ittounas,0.4661523800454901
9,6,100.5,8,148.64,Regular,ITTO,Team Ittounas,0.4355487835705738
2,1,116.02,4,116.02,Regular,QUON,Quon's  League ,0.7221864597083683
5,1,135.68,8,116.38,Regular,QUON,Quon's  League ,0.9237135000370824
7,1,116.64,2,119.34,Regular,QUON,Quon's  League ,0.7318156059174592
10,1,122.9,5,88.76,Regular,QUON,Quon's  League ,0.8166412691712615
1,1,152.22,5,89.38,Regular,QUON,Quon's  League ,0.977867142299493
3,1,111.8,9,106.5,Regular,QUON,Quon's  League ,0.6513730384620159
4,1,167.96,7,93.78,Regular,QUON,Quon's  League ,0.9934395099330675
6,1,100.0,10,67.38,Regular,QUON,Quon's  League ,0.42595436641589984
8,1,139.3,6,145.14,Regular,QUON,Quon's  League ,0.941431451727613
9,1,98.42,3,125.0,Regular,QUON,Quon's  League ,0.3960320569485659
2,3,169.28,10,117.5,Regular,TnM,Team Tenner n Mamby ,0.9940795796099782
4,3,147.02,6,101.68,Regular,TnM,Team Tenner n Mamby ,0.967116994917379
5,3,136.06,7,83.36,Regular,TnM,Team Tenner n Mamby ,0.9257828470830599
7,3,106.92,4,78.6,Regular,TnM,Team Tenner n Mamby ,0.560496151068714
9,3,125.0,1,98.42,Regular,TnM,Team Tenner n Mamby ,0.8399827042177423
10,3,95.3,8,120.64,Regular,TnM,Team Tenner n Mamby ,0.339349551655145
1,3,121.18,8,114.1,Regular,TnM,Team Tenner n Mamby ,0.7956214913513014
3,3,101.9,2,70.24,Regular,TnM,Team Tenner n Mamby ,0.4626485901698315
6,3,106.76,5,110.52,Regular,TnM,Team Tenner n Mamby ,0.5574093172106801
8,3,123.62,9,119.54,Regular,TnM,Team Tenner n Mamby ,0.8249284509566505
3,9,106.5,1,111.8,Regular,Reid,I Hate Joe Burrow,0.5523838438276982
5,9,111.98,10,76.4,Regular,Reid,I Hate Joe Burrow,0.6545650580201008
8,9,119.54,3,123.62,Regular,Reid,I Hate Joe Burrow,0.7739594405567156
10,9,118.2,4,73.04,Regular,Reid,I Hate Joe Burrow,0.7550884746139683
1,9,86.42,4,111.12,Regular,Reid,I Hate Joe Burrow,0.20405598224774965
2,9,94.56,7,65.16,Regular,Reid,I Hate Joe Burrow,0.32648948457190013
4,9,112.38,8,174.86,Regular,Reid,I Hate Joe Burrow,0.6616084534634369
6,9,115.6,2,99.16,Regular,Reid,I Hate Joe Burrow,0.7155439762907668
7,9,116.94,6,70.46,Regular,Reid,I Hate Joe Burrow,0.7363982262287558
9,9,99.04,5,116.9,Regular,Reid,I Hate Joe Burrow,0.4076942763660079
